Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
0,3,1,-0.6076,1,0,-0.7513,0,0,1
1,3,0,-0.2078,0,0,-0.7003,0,0,1
1,1,0,0.6917,1,0,2.713,0,0,1
0,3,1,0.6917,0,0,-0.6908,0,0,1
0,3,1,-0.0079,0,0,-0.66,0,1,0
0,1,1,2.5907,0,0,2.6195,0,0,1
1,3,0,-0.1079,0,2,-0.4579,0,0,1
1,2,0,-1.4072,1,0,0.973,1,0,0
1,3,0,-2.4066,1,1,-0.0373,0,0,1
0,3,1,-0.8075,0,0,-0.6908,0,0,1
0,3,1,1.0915,1,5,1.064,0,0,1
0,3,0,-1.4072,0,0,-0.7056,0,0,1
1,2,1,-0.0079,0,0,-0.3168,0,0,1
0,3,0,0.2919,1,0,0.061,0,0,1
1,3,0,-0.0079,0,0,-0.7532,1,0,0
0,2,1,0.6917,0,0,0.6654,0,0,1
1,2,1,0.5917,0,0,-0.3168,0,0,1
1,3,0,-1.3072,0,0,-0.6924,0,1,0
1,1,1,-0.0079,0,0,1.3832,0,0,1
0,3,0,-2.0069,3,1,0.2933,0,0,1
1,3,0,0.9915,1,5,1.0725,0,0,1
0,3,1,-0.0079,0,0,-0.7532,1,0,0
1,3,0,-0.0079,0,0,-0.7037,0,1,0
0,3,1,-0.0079,0,0,-0.7025,0,0,1
0,1,1,1.1914,0,0,0.7954,1,0,0
1,3,0,-0.0079,0,0,-0.7135,0,1,0
0,1,1,1.3913,1,0,2.6298,0,0,1
1,3,1,-0.0079,0,0,-0.7528,1,0,0
0,3,1,-0.7076,0,0,-0.6908,0,0,1
0,3,0,-1.0074,2,0,0.061,0,0,1
1,3,0,-1.4072,1,0,-0.4497,1,0,0
0,3,0,1.1914,1,0,-0.5832,0,0,1
0,2,0,-0.1079,1,0,0.2876,0,0,1
0,3,1,-0.0079,0,0,-0.7025,1,0,0
1,2,0,-2.5066,1,2,1.8425,1,0,0
1,3,0,-0.9074,0,0,-0.7037,0,1,0
0,3,1,-0.0079,0,0,-0.6908,0,0,1
0,3,1,-0.0079,1,0,-0.1279,0,1,0
1,3,0,-0.0079,0,0,-0.7135,0,1,0
0,3,1,-0.0079,2,0,0.3389,1,0,0
0,3,0,-1.0074,1,0,0.0458,0,0,1
0,3,1,-2.1068,4,1,1.6996,0,0,1
0,3,1,-0.7076,0,0,-0.7097,0,0,1
1,2,0,0.092,1,0,0.6654,0,0,1
1,1,1,-0.0079,0,0,1.3832,0,0,1
1,2,0,-0.7076,0,0,-0.5057,0,0,1
0,3,1,0.042,0,0,-0.7528,1,0,0
1,2,0,-2.3067,1,2,0.7976,0,0,1
0,3,1,-1.707,5,2,2.2445,0,0,1
0,3,1,-0.6076,0,0,-0.7528,1,0,0
0,3,1,-2.4066,3,2,0.809,0,0,1
0,1,1,-0.0079,0,0,0.7954,1,0,0
1,3,1,-0.0079,1,1,-0.1471,1,0,0
1,2,0,0.092,0,0,-0.5057,0,0,1
0,3,1,-0.9074,0,0,-0.6826,0,0,1
1,3,0,-1.1073,4,2,-0.7003,0,0,1
0,3,1,-0.2078,2,0,-0.6445,0,0,1
0,2,1,0.3918,0,0,-0.5057,0,0,1
0,3,0,-1.2073,5,2,2.2445,0,0,1
0,3,1,-0.2078,1,0,-0.2069,1,0,0
1,3,1,0.3918,0,0,2.9695,0,0,1
0,3,1,-0.3078,0,0,-0.721,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
0,3,1,-0.0079,0,0,-0.6908,0,0,1
1,3,0,0.192,0,0,-0.3565,0,0,1
0,3,1,-0.6076,0,0,-0.619,0,0,1
1,3,1,0.092,0,0,-0.5813,0,0,1
1,3,0,-0.0079,0,0,-0.7107,0,1,0
0,1,1,-0.0079,0,0,2.2596,0,0,1
1,2,0,-1.1073,0,0,-0.5057,0,0,1
1,3,0,0.4918,3,0,-0.1015,0,0,1
0,3,1,-1.2073,1,3,1.2982,0,0,1
0,3,1,-0.0079,0,0,-0.6908,0,0,1
0,3,1,-0.4077,0,0,-0.6908,0,0,1
0,3,1,0.092,0,0,-0.6908,0,0,1
0,3,1,-0.8075,0,0,-0.7056,0,0,1
0,1,1,1.7911,1,0,3.3231,0,0,1
0,3,1,-0.2078,1,2,0.2555,0,0,1
0,3,1,-0.0079,0,0,-0.6908,0,0,1
1,2,0,0.5917,0,1,0.4387,0,0,1
0,2,1,0.5917,1,0,0.6654,0,0,1
0,3,0,-0.0079,0,0,-0.7025,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
0,3,1,0.4918,0,0,-0.6452,0,0,1
0,3,1,0.8916,2,0,-0.7003,0,0,1
0,3,1,-0.0079,0,0,-0.7025,0,0,1
1,3,0,-0.7076,0,0,-0.721,0,0,1
1,3,1,-0.0079,0,0,-0.7116,0,0,1
0,3,1,0.9915,0,0,-0.7025,0,0,1
1,3,0,-0.0079,1,0,0.5256,0,1,0
0,1,1,1.891,0,0,2.6298,0,0,1
0,3,0,-1.3572,1,0,-0.2069,1,0,0
0,3,1,-0.6076,0,0,-0.6908,0,0,1
0,3,0,-0.8075,1,0,-0.5567,0,0,1
0,3,0,-1.1073,0,0,-0.2066,1,0,0
0,3,1,-0.7076,0,0,-0.7003,0,0,1
